"Rawson et al., Compositional variability in mafic arc magmas over short spatial and temporal scales: evidence for the signature of mantle reactive melt channels ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplementary whole rock analyses new and published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Raw Whole Rock Major data (wt.%),,,,,,,,,,,,,,Normalised Whole Rock Major data (wt%),,,,,,,,,,,Whole Rock Trace data (ug/g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puyehue-Cordon Caulle ,PU 05 03,Pumice,,40.59,,"Jicha et al., 2007",65.43,0.78,14.66,5.03,0.12,0.77,2.51,4.94,2.51,0.18,23.25,,96.93,,67.50,0.81,15.12,5.19,0.12,0.79,2.59,5.10,2.59,0.19,,54,280,8.50,,,,,24,,,,,,,61,176,685,74.15,7.51,1.89,4.4,32.43,9.61,39.15,8.81,1.86,9.00,1.57,9.47,1.93,5.74,0.93,5.95,0.88,8.51,0.56
Puyehue-Cordon Caulle ,PU 05 11A,Puyehue-Cordon Caulle lavas,,40.59,,"Jicha et al., 2007",66.54,0.78,14.21,5.06,0.12,0.80,2.62,5.00,2.51,0.18,23.83,,97.82,,68.02,0.80,14.53,5.17,0.12,0.82,2.68,5.11,2.57,0.18,,57,288,8.73,,,,,18,,,,,,,63,190,703,69.36,7.39,1.86,4.4,30.81,9.22,36.94,8.04,1.92,8.65,1.47,8.69,1.83,5.57,0.87,5.68,0.86,8.20,0.50
Puyehue-Cordon Caulle ,PU 05 12,Puyehue-Cordon Caulle lavas,,40.59,,"Jicha et al., 2007",66.38,0.76,14.04,5.01,0.12,0.78,2.57,4.89,2.54,0.18,23.55,,97.27,,68.25,0.78,14.43,5.15,0.13,0.80,2.64,5.03,2.61,0.19,,56,274,7.99,,,,,23,,,,,,,62,169,658,69.88,7.34,1.90,4.2,30.64,9.04,36.94,7.90,1.82,8.56,1.49,8.91,1.85,5.60,0.87,5.69,0.85,8.15,0.51
Puyehue-Cordon Caulle ,PU 04 04e,Pumice,,40.59,,"Jicha et al., 2007",65.62,0.44,14.79,5.04,0.14,0.71,2.28,4.66,2.30,0.10,21.80,,96.07,,68.30,0.45,15.39,5.25,0.14,0.74,2.37,4.85,2.39,0.10,,58,310,9.60,,,,,18,,,,,,,59,166,697,74.30,8.25,2.24,4.1,33.20,9.76,39.80,8.93,1.83,8.73,1.55,9.15,1.98,6.42,0.99,6.23,0.93,9.10,0.56
Puyehue-Cordon Caulle ,PU 05 15,Puyehue-Cordon Caulle lavas,,40.59,,"Jicha et al., 2007",63.38,0.71,13.38,4.72,0.13,0.73,2.44,4.64,2.27,0.16,23.43,,92.55,,68.48,0.76,14.46,5.10,0.14,0.79,2.64,5.01,2.45,0.17,,55,272,8.01,,,,,20,,,,,,,61,171,659,66.07,7.13,1.83,4.0,29.05,8.57,35.32,7.46,1.77,8.35,1.45,8.60,1.80,5.39,0.86,5.73,0.83,7.86,0.50
Puyehue-Cordon Caulle ,PU 02 29,Puyehue-Cordon Caulle lavas,,40.59,,"Jicha et al., 2007",69.53,0.74,14.24,4.48,0.11,0.67,2.27,5.25,2.64,0.16,22.83,,100.10,,69.46,0.74,14.23,4.48,0.11,0.67,2.27,5.25,2.64,0.16,,54,341,8.40,,,,,16,,,,,,,70,168,778,66.70,9.07,2.51,4.9,31.50,7.88,35.10,8.36,1.78,7.79,1.41,8.74,1.80,5.44,0.87,5.80,0.91,8.40,0.52
Puyehue-Cordon Caulle ,PU 02 25,Puyehue-Cordon Caulle lavas,,40.59,,"Jicha et al., 2007",70.25,0.69,14.08,4.38,0.11,0.64,2.16,5.21,2.62,0.15,22.43,,100.29,,70.05,0.68,14.04,4.37,0.11,0.64,2.15,5.20,2.61,0.15,,55,342,7.90,,,,,14,,,,,,,73,161,776,69.50,9.18,2.55,4.9,32.80,8.21,36.50,8.66,1.76,7.96,1.44,8.87,1.87,5.56,0.90,5.87,0.92,8.40,0.55
Puyehue-Cordon Caulle ,PU 05 25,Puyehue-Cordon Caulle lavas,,40.59,,"Jicha et al., 2007",70.23,0.39,14.33,4.72,0.13,0.37,1.86,5.32,2.81,0.09,13.43,,100.25,,70.05,0.39,14.29,4.71,0.13,0.37,1.86,5.31,2.80,0.09,,38,295,8.52,,,,,5,,,,,,,61,145,730,43.72,8.07,1.84,1.1,19.17,5.88,23.32,5.12,1.89,5.51,1.01,6.19,1.29,4.12,0.69,4.79,0.74,9.05,0.58
Puyehue-Cordon Caulle ,PU 02 16,Puyehue-Cordon Caulle lavas,,40.59,,"Jicha et al., 2007",69.60,0.64,14.00,4.21,0.11,0.59,2.08,5.21,2.77,0.14,21.71,,99.35,,70.05,0.65,14.09,4.24,0.11,0.59,2.09,5.24,2.79,0.14,,54,340,8.10,,,,,10,,,,,,,72,153,728,73.20,8.70,2.38,4.7,35.10,8.47,37.40,8.80,1.81,8.18,1.45,8.83,1.87,5.51,0.92,5.89,0.91,8.60,0.52
Puyehue-Cordon Caulle ,PU 02 36,Puyehue-Cordon Caulle lavas,,40.59,,"Jicha et al., 2007",70.36,0.43,13.93,4.66,0.14,0.46,2.05,5.26,2.60,0.10,16.34,,99.99,,70.36,0.43,13.93,4.66,0.14,0.46,2.05,5.26,2.60,0.10,,55,322,7.90,,,,,6,,,,,,,65,155,795,68.30,9.02,2.51,4.5,32.40,8.12,36.60,8.69,1.82,7.95,1.50,9.32,1.93,5.83,0.94,6.11,0.96,8.20,0.51
Puyehue-Cordon Caulle ,PU 02 34,Puyehue-Cordon Caulle lavas,,40.59,,"Jicha et al., 2007",70.91,0.34,13.79,4.67,0.14,0.31,1.77,5.18,2.79,0.07,11.61,,99.97,,70.93,0.34,13.79,4.67,0.14,0.31,1.77,5.18,2.79,0.07,,54,307,8.00,,,,,,,,,,,,62,138,747,70.90,8.30,2.24,4.1,33.00,9.01,37.90,8.86,1.77,8.91,1.58,9.16,1.89,6.25,1.01,6.12,1.02,8.20,0.47
Puyehue-Cordon Caulle ,PU 02 26,Puyehue-Cordon Caulle lavas,,40.59,,"Jicha et al., 2007",71.14,0.38,13.89,4.32,0.14,0.29,1.72,5.34,2.79,0.08,11.72,,100.09,,71.08,0.38,13.88,4.32,0.14,0.29,1.72,5.34,2.79,0.08,,61,365,8.70,,,,,,,,,,,,74,140,822,78.00,9.55,2.59,4.9,37.00,9.18,40.60,9.65,1.85,8.76,1.62,9.99,2.11,6.29,1.03,6.67,1.04,9.10,0.56
Puyehue-Cordon Caulle ,PU 02 13,Puyehue-Cordon Caulle lavas,,40.59,,"Jicha et al., 2007",70.21,0.35,13.60,4.01,0.13,0.28,1.68,5.25,2.83,0.07,12.14,,98.41,,71.34,0.36,13.82,4.07,0.13,0.28,1.71,5.33,2.88,0.07,,60,354,8.10,,,,,,,,,,,,76,137,774,80.00,8.88,2.40,4.8,38.50,9.33,41.10,9.54,1.90,8.80,1.60,9.84,2.06,6.12,1.01,6.44,1.01,8.70,0.55
Puyuhuapi,160390-01,Monogenetic cone,,44.3,,"López-Escobar et al, 1995",48.84,1.50,16.60,9.73,0.15,8.06,10.46,3.29,1.18,0.38,62.11,,100.19,,48.75,1.50,16.57,9.71,0.15,8.04,10.44,3.28,1.18,0.38,,,,,,,,47,,180,53,,,,,22.2,744,62,46.3,4.16,,0.6,28.1,,28.1,6,1.68,,0.72,3.49,,,,1.84,0.3,2.9,0.86
Puyuhuapi,160390-04,Monogenetic cone,,44.3,,"López-Escobar et al, 1995",49.46,1.55,16.30,10.13,0.15,7.30,10.36,3.25,1.16,0.35,58.78,,100.01,,49.46,1.55,16.30,10.13,0.15,7.30,10.36,3.25,1.16,0.35,,,,,,,,50,,159,52,,,,,21.4,738,69,44.6,4.1,,,27.6,,28.5,5.77,1.73,,0.62,,,,,1.98,0.37,3.1,0.99
Puyuhuapi,160390-05,Monogenetic cone,,44.3,,"López-Escobar et al, 1995",48.61,1.55,16.30,10.53,0.15,8.12,10.10,3.15,1.18,0.39,60.41,,100.08,,48.57,1.55,16.29,10.52,0.15,8.11,10.09,3.15,1.18,0.39,,,,,,,,46,,180,51,,,,,21.4,747,49,48.5,3.88,,,21.8,,30,4.87,1.59,,0.61,,,,,1.84,0.31,2.9,1.2
Puyuhuapi,828-6A,,,44.3,,"Watt, 2010",44.46,1.67,17.32,10.96,0.15,9.51,8.86,2.53,0.83,0.50,63.19,2.80,99.59,,44.64,1.68,17.39,11.01,0.15,9.55,8.90,2.54,0.83,0.50,,26,168,24.0,1.1,8.2,,28,241,283,45,211,43,,,13,678,387,81,,1.9,0.2,38,10.4,41,7.6,2.1,7.1,0.9,5,0.9,2.4,0.3,2,0.3,3.9,1.5
Puyuhuapi,828-6B,,,44.3,,"Watt, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,26,157,21.1,1.1,6.4,,30,237,294,50,186,42,,,14,657,393,72,,1.4,0.3,34,8.8,34,6.6,1.9,6.4,0.9,4.6,0.9,2.3,0.3,1.9,0.3,3.6,1.3
Quetrupillan,CLD177D,,,39.5,,this study,62.54,1.23,17.24,6.14,0.15,1.30,3.24,4.93,2.83,0.39,29.45,2.70,102.70,,60.90,1.20,16.79,5.98,0.14,1.26,3.15,4.80,2.76,0.38,,43,403,13.8,,28,,19,84,1.0,8.2,0.8,18.5,86,22,78.3,319,792,87,12.4,3.43,4.27,40,11.1,44,9.3,2.08,8.56,1.29,7.8,1.66,4.81,0.72,4.9,0.80,9.89,0.84
Quetrupillan,CLD182G,,,39.5,,this study,62.88,1.21,17.01,6.02,0.15,1.29,3.23,4.95,2.86,0.40,29.77,1.95,101.95,,61.68,1.19,16.68,5.91,0.14,1.27,3.17,4.85,2.80,0.40,,45,408,13.8,,29,,19,83,1.4,8.2,1.2,20.5,85,22,79.7,321,826,89,12.6,3.51,4.55,41,11.2,44,9.3,2.13,8.73,1.34,8.0,1.63,5.00,0.73,5.0,0.78,9.53,0.83
Quetrupillan,120308/03C,,,39.5,,this study,50.38,1.22,19.17,9.88,0.16,6.13,8.62,3.15,0.89,0.39,55.12,2.59,102.59,,49.10,1.19,18.69,9.63,0.16,5.98,8.40,3.07,0.87,0.38,,20.6,126.3,6.29,,8.8,,28.6,226,133,31,74,70,70,18.9,18.4,511,303,39.1,3.1,0.90,0.95,17.1,5.0,21.7,4.3,1.37,4.4,0.65,4.3,0.81,2.4,0.33,2.1,0.33,3.2,0.38
Quetrupillan,120308/06C,,,39.5,,this study,50.00,0.98,17.91,9.34,0.15,8.26,9.38,2.89,0.83,0.27,63.63,0.34,100.34,,49.83,0.98,17.85,9.31,0.15,8.23,9.35,2.88,0.82,0.27,,18.2,111.6,5.40,,8.5,,27.8,211,254,36,123,66,69,18.2,19.7,553,284,33.5,2.8,0.83,0.99,14.4,4.4,19.1,3.7,1.28,4.0,0.56,3.7,0.71,2.0,0.31,1.9,0.29,2.8,0.32
Quetrupillan,120308/06D,,,39.5,,this study,51.04,1.10,18.13,9.34,0.16,6.66,9.04,3.21,1.01,0.33,58.50,0.51,100.51,,50.78,1.09,18.03,9.29,0.16,6.62,9.00,3.19,1.00,0.32,,20.5,126.2,6.35,,9.6,,27.8,216,208,32,82,66,72,18.4,23.9,546,321,39.7,3.5,0.99,1.22,17.9,5.1,22.2,4.8,1.42,4.5,0.69,4.2,0.80,2.3,0.32,2.1,0.30,3.4,0.35
Quetrupillan,CLD177E,,,39.5,,this study,50.77,1.09,18.39,9.37,0.16,7.19,8.75,3.02,0.94,0.31,60.29,0.96,100.96,,50.29,1.08,18.21,9.28,0.16,7.12,8.67,2.99,0.93,0.31,,24,144,6.7,,9,,31,238,213.3,40.8,130.4,85.2,85,20,23.9,586,359,42,3.6,1.00,,,,,,,,,,,,,,,,
Quetrupillan,CLD179D,,,39.5,,this study,49.42,0.99,18.15,9.52,0.15,8.77,9.16,2.77,0.80,0.28,64.59,0.34,100.34,,49.25,0.99,18.09,9.49,0.15,8.74,9.12,2.76,0.79,0.27,,19,119,5.9,,8,,30,229,229.0,45.3,173.6,74.9,74,19,20.2,587,289,35,3.0,0.85,1.03,17,5.0,20,4.2,1.36,4.29,0.63,3.7,0.74,2.11,0.31,2.1,0.32,2.97,0.35
San Pedro,LAVA,,,36,,"Costa and Singer, 2002 ",63.60,0.65,16.78,5.03,0.09,2.35,4.82,2.46,4.31,0.20,48.04,,100.29,,63.42,0.65,16.73,5.01,0.09,2.34,4.81,2.45,4.30,0.20,,15,168,6,,14,,,82,26,,18,,59,,84,473,563,,,,,,,,,,,,,,,,,,,
San Pedro,LAVA,,,36,,"Costa and Singer, 2002 ",63.70,0.64,16.75,5.02,0.09,2.29,4.80,2.46,4.35,0.19,47.45,,100.29,,63.52,0.64,16.70,5.00,0.00,2.28,4.79,2.45,4.34,0.19,,14,167,5.9,,14,,10.7,73,23,13,16,,56,,88,482,563,42.7,7.39,,4.2,20,,19.2,3.63,0.96,,0.45,,,,,1.44,0.22,4.02,0.37
San Pedro,LAVA,,,36,,"Costa and Singer, 2002 ",64.50,0.60,16.53,4.76,0.09,2.33,4.59,2.52,4.31,0.18,49.19,,100.41,,64.24,0.60,16.46,4.74,0.00,2.32,4.57,2.51,4.29,0.18,,13,161,5.3,,16,,,,28,,22,,57,,86,461,562,,,,,,,,,,,,,,,,,,,
San Pedro,LAVA,,,36,,"Costa and Singer, 2002 ",64.60,0.58,16.44,4.64,0.09,2.16,4.51,2.57,4.35,0.17,47.95,,100.11,,64.53,0.58,16.42,4.63,0.00,2.16,4.51,2.57,4.35,0.17,,13,156,5.7,,16,,9.8,64,24,12,18,,56,,89,458,577,42.6,7.93,,4.2,19.9,,18.5,3.35,0.88,,0.4,,,,,1.3,0.2,3.88,0.41
San Pedro,LAVA,,,36,,"Costa and Singer, 2002 ",65.80,0.51,16.26,4.15,0.08,1.78,4.08,2.70,4.54,0.16,45.90,,100.06,,65.76,0.51,16.25,4.15,0.00,1.78,4.08,2.70,4.54,0.16,,12,163,5.8,,16,,8,54,15,10,10,,53,,95,452,618,42.8,8.39,,4.6,20.1,,17.9,3.32,0.87,,0.42,,,,,1.28,0.2,4,0.42
Tagua,14-5a,,,41.7,,"Watt et al., 2011 ",,,,,,,,,,,,,,,,,,,,,,,,,,39,368,15.1,1.6,16.5,,25,161,,15,,31,112,23,40,342,556,96,,1.6,,39,11.4,46,9.3,,9.5,1.4,7.9,1.5,4.6,0.7,4.5,0.7,,0.9
Uncertain (some cones?),120309/02A,,,,,this study,48.50,1.02,17.80,10.49,0.16,10.21,8.38,2.79,0.46,0.18,65.82,1.25,101.25,,47.91,1.01,17.58,10.36,0.16,10.08,8.28,2.75,0.46,0.18,,15.3,50.5,1.04,,8.7,,25.6,214,321,46,208,86,75,18.2,5.4,785,203,21.5,3.5,0.98,0.50,9.0,3.1,14.6,3.6,1.16,3.4,0.48,3.0,0.61,1.8,0.21,1.5,0.23,1.6,0.06
Uncertain (some cones?),CLD160M,,,,,this study,51.63,0.98,19.20,9.12,0.13,5.82,9.67,2.76,0.55,0.16,55.77,1.15,101.15,,51.04,0.96,18.98,9.02,0.13,5.75,9.56,2.73,0.54,0.16,,17,68,1.5,,12,,33,273,189.4,34.8,83.0,117.8,77,22,13.8,661,218,20,3.6,1.29,1.86,8,2.9,13,3.2,1.08,3.32,0.50,3.1,0.67,1.98,0.28,1.9,0.28,2.09,0.09
Uncertain (some cones?),CLD160N,,,,,this study,51.56,0.94,19.61,8.78,0.12,5.74,9.76,2.77,0.56,0.15,56.37,0.96,100.96,,51.07,0.93,19.42,8.70,0.12,5.68,9.67,2.74,0.56,0.15,,16,66,1.5,,12,,30,256,159.2,34.5,92.5,122.2,76,21,14.2,654,212,19,3.4,1.27,1.90,9,2.8,13,3.5,1.18,3.41,0.53,3.4,0.68,2.02,0.29,1.9,0.27,2.08,0.09
Uncertain (some cones?),CLD230A,,,,,this study,51.06,1.25,20.45,10.32,0.17,3.53,8.67,3.52,0.78,0.23,40.36,1.35,101.35,,50.38,1.24,20.18,10.19,0.17,3.48,8.56,3.48,0.77,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncertain (some cones?),CLD234A,,,,,this study,54.73,1.21,20.34,10.12,0.20,1.97,4.75,4.74,1.41,0.52,27.82,2.90,102.90,,53.19,1.18,19.77,9.84,0.19,1.92,4.62,4.60,1.37,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncertain (some cones?),CLD238D,,,,,this study,55.51,1.07,17.88,9.17,0.16,3.90,7.34,3.77,0.98,0.21,45.73,0.69,100.69,,55.13,1.06,17.76,9.10,0.16,3.88,7.29,3.75,0.97,0.21,,24,103,3,,9,,33,250,36,25,13,83,104,21,23.8,455,313,29,3.3,0.89,1.76,14,4.1,18,4.3,1.41,4.67,0.73,4.5,0.92,2.77,0.39,2.6,0.40,2.85,0.21
Uncertain (some cones?),CLD238E,,,,,this study,59.95,1.00,17.51,7.24,0.16,2.31,5.39,4.69,1.45,0.29,38.67,0.68,100.68,,59.55,1.00,17.40,7.20,0.16,2.29,5.35,4.66,1.44,0.29,,29,152,4,,14,,24,148,3,13,2,29,115,23,38.1,459,436,40,5.4,1.52,2.34,18,5.3,24,5.2,1.58,5.42,0.84,5.2,1.09,3.23,0.46,3.2,0.49,4.07,0.27
Uncertain (some cones?),CLD241F,,,,,this study,52.25,0.99,18.52,9.76,0.16,5.14,9.18,3.17,0.66,0.18,51.02,1.20,101.20,,51.63,0.98,18.30,9.64,0.16,5.08,9.07,3.13,0.65,0.18,,17,74,2,,8,,29,256,62,30,23,84,83,19,11.5,441,202,22,2.3,0.69,0.72,10,3.2,15,3.4,1.14,3.56,0.56,3.5,0.72,2.08,0.30,2.0,0.31,2.28,0.14
Uncertain (some cones?),CLD241H,,,,,this study,58.91,1.03,17.40,7.84,0.16,2.72,5.91,4.41,1.35,0.26,40.70,0.77,100.77,,58.47,1.02,17.27,7.78,0.16,2.70,5.86,4.37,1.34,0.26,,27,138,4,,12,,26,180,9,17,5,50,104,22,35.7,458,410,37,4.7,1.33,2.17,16,4.8,21,4.9,1.51,5.16,0.80,5.0,1.03,3.03,0.44,3.0,0.43,3.54,0.25
Uncertain (some cones?),CLD244E,,,,,this study,61.58,0.78,20.11,7.80,0.22,0.55,2.61,4.33,1.82,0.19,12.25,5.51,105.51,,58.36,0.74,19.06,7.40,0.20,0.52,2.48,4.11,1.72,0.18,,67,418,10,,32,,25,12,1,3,,33,110,28,44.6,224,521,85,11.1,2.88,3.19,39,11.3,51,11.5,2.57,11.79,1.91,12.3,2.55,7.67,1.15,7.8,1.19,11.21,0.62
Uncertain (some cones?),CLD248A,,,,,this study,57.79,1.06,18.41,8.17,0.17,2.78,5.85,4.25,1.26,0.27,40.19,2.03,102.03,,56.64,1.04,18.04,8.01,0.16,2.72,5.74,4.16,1.24,0.27,,26,129,4,,12,,25,176,13,17,7,47,102,21,30.5,419,357,36,4.3,1.26,2.10,18,5.3,24,5.3,1.58,5.53,0.85,5.4,1.07,3.22,0.46,3.1,0.47,3.79,0.27
Uncertain (some cones?),CLD313A,,,,,this study,49.93,1.13,20.26,11.22,0.18,5.25,8.46,3.07,0.35,0.15,48.04,1.46,101.46,,49.20,1.12,19.97,11.06,0.17,5.17,8.34,3.03,0.34,0.15,,20,65,2,,6,,34,275,30,39,32,94,92,23,5.5,459,154,16,0.7,0.22,0.58,7,2.4,12,3.2,1.18,3.68,0.60,3.6,0.77,2.30,0.32,2.2,0.32,1.91,0.09
Uncertain (some cones?),CLD329A,,,,,this study,59.32,0.93,18.96,8.13,0.18,1.70,4.82,4.54,1.11,0.32,29.22,3.28,103.28,,57.43,0.90,18.36,7.87,0.17,1.64,4.66,4.40,1.08,0.31,,38,188,5,,15,,22,52,6,12,3,33,116,25,33.3,353,337,40,3.9,1.09,2.31,17,5.5,26,6.4,1.77,6.89,1.10,7.1,1.46,4.33,0.63,4.2,0.64,5.13,0.31
Uncertain (some cones?),CLD329D,,,,,this study,51.58,1.11,18.27,10.89,0.17,5.05,8.93,3.24,0.59,0.18,47.85,1.03,101.03,,51.05,1.10,18.08,10.77,0.17,5.00,8.84,3.20,0.59,0.18,,19,72,2,,6,,37,301,91,32,21,99,86,20,11.9,416,187,20,2.0,0.55,0.90,10,3.2,15,3.6,1.22,3.96,0.63,4.0,0.81,2.38,0.34,2.3,0.35,2.30,0.14
Uncertain (some cones?),CLD331C,,,,,this study,60.55,0.91,17.31,7.76,0.17,1.85,5.07,4.90,1.17,0.31,32.04,0.73,100.73,,60.12,0.90,17.18,7.70,0.17,1.84,5.03,4.87,1.17,0.31,,36,165,5,,14,,21,51,4,12,,28,121,24,35.1,381,346,38,3.5,0.98,2.38,15,5.1,24,6.1,1.75,6.78,1.05,6.7,1.38,4.06,0.59,3.9,0.59,4.57,0.30
Uncertain (some cones?),CLD331D,,,,,this study,60.86,0.87,17.63,7.67,0.16,1.61,4.76,4.89,1.22,0.32,29.34,1.53,101.53,,59.94,0.86,17.37,7.56,0.16,1.59,4.69,4.81,1.21,0.31,,36,178,5,,15,,20,40,2,11,,29,117,24,36.6,362,351,39,3.9,1.08,2.51,16,5.4,26,6.1,1.66,6.60,1.06,6.7,1.37,4.10,0.59,4.1,0.63,5.06,0.31
Uncertain (some cones?),CLD340A,,,,,this study,56.47,0.84,18.98,8.45,0.16,3.82,7.11,3.42,0.62,0.15,47.19,2.58,102.58,,55.05,0.82,18.50,8.24,0.15,3.72,6.93,3.33,0.60,0.14,,19,87,3,,6,,23,184,10,20,5,32,95,22,16.3,347,168,19,1.3,0.39,1.37,7,2.5,13,3.3,1.06,3.63,0.58,3.6,0.72,2.17,0.30,2.1,0.32,2.47,0.19
Uncertain (some cones?),CLD341A,,,,,this study,56.08,0.86,19.22,8.70,0.16,3.96,6.97,3.32,0.60,0.14,47.36,3.22,103.22,,54.33,0.83,18.62,8.43,0.15,3.83,6.75,3.21,0.58,0.14,,18,81,3,,2,,,,,,,,,,,,,,0.3,0.06,1.36,8,2.8,14,3.5,1.13,3.87,0.61,3.8,0.77,2.26,0.33,2.2,0.33,2.41,0.19
Villarrica,001(b),Tephra,,39.42,,"Jacques et al., 2014",53.01,1.00,18.85,10.07,0.15,4.02,9.75,3.32,0.63,0.19,44.14,0.39,101.38,,52.29,0.99,18.59,9.93,0.15,3.97,9.62,3.27,0.62,0.19,,21.8,81.7,1.72,,6.91,,37.8,242,50.1,26.3,22.9,103,79.5,21.6,15.1,466,186,17.2,1.33,0.454,1.44,7.11,2.52,11.8,3.11,0.989,3.41,0.556,3.55,0.742,2.07,0.314,2.07,0.314,2.2,0.107
Villarrica,006(a),Tephra,,39.42,,"Jacques et al., 2014",53.39,1.08,17.20,11.14,0.18,4.58,9.23,3.46,0.66,0.19,44.85,0.42,101.53,,52.58,1.06,16.94,10.98,0.18,4.51,9.09,3.41,0.65,0.19,,21.2,82.4,1.78,,7.1,,33.9,282,55.6,30.5,22.3,105,85.2,18.2,15,450,196,19.8,1.56,0.494,1.4,7.72,2.74,12.9,3.38,1.08,3.7,0.614,3.88,0.811,2.28,0.342,2.28,0.346,2.36,0.117
Villarrica,010(a),Tephra,,39.42,,"Jacques et al., 2014",55.06,1.18,16.56,11.34,0.16,3.92,8.10,3.79,0.81,0.21,40.61,0.42,101.55,,54.22,1.16,16.31,11.17,0.16,3.86,7.98,3.73,0.80,0.21,,25.4,101,2.11,,8.09,,32.8,300,28.6,25.9,13.6,63,94,20.2,19.5,438,236,21.8,1.64,0.568,1.8,8.83,3.11,14.7,3.86,1.19,4.17,0.689,4.4,0.916,2.57,0.387,2.58,0.39,2.66,0.123
Villarrica,170(b),Tephra,,39.42,,"Jacques et al., 2014",51.44,1.18,15.90,12.02,0.16,7.36,9.37,2.92,0.64,0.23,54.78,0.25,101.47,,50.69,1.16,15.67,11.85,0.16,7.25,9.23,2.88,0.63,0.23,,25,93.2,2,,7.54,,43.2,281,380,38.7,112,133,85.6,19.6,15.4,397,190,19.6,1.3,0.464,1.62,7.99,2.91,13.7,3.65,1.11,3.99,0.655,4.14,0.869,2.4,0.36,2.38,0.356,2.54,0.129
Villarrica,Lower - C - 03,Villarrica Chaimilla,,39.42,,Costantini et al 2011,52.93,1.01,19.40,8.93,0.15,4.03,9.96,2.84,0.58,0.17,47.17,,100.00,,52.93,1.01,19.40,8.93,0.15,4.03,9.96,2.84,0.58,0.17,,22,82,,,,,32,296,74,26,26,97,84,20,16,461,205,15,,,,10,,12,,,,,,,,,,,,
Villarrica,Lower - C - 05,Villarrica Chaimilla,,39.42,,Costantini et al 2011,53.04,1.00,19.46,8.86,0.15,3.98,9.94,2.79,0.59,0.18,47.06,,99.99,,53.05,1.00,19.46,8.86,0.15,3.98,9.94,2.79,0.59,0.18,,22,83,,,,,34,293,71,27,24,106,87,21,16,460,197,12,,,,11,,11,,,,,,,,,,,,
Villarrica,Lower - C - 08,Villarrica Chaimilla,,39.42,,Costantini et al 2011,53.10,1.00,19.04,8.89,0.15,4.15,9.93,2.90,0.65,0.18,48.02,,99.99,,53.11,1.00,19.04,8.89,0.15,4.15,9.93,2.90,0.65,0.18,,23,82,,,,,32,292,93,27,31,93,84,21,17,458,206,13,,,,8,,12,,,,,,,,,,,,
Villarrica,Lower - D - 09,Villarrica Chaimilla,,39.42,,Costantini et al 2011,52.83,1.03,19.68,9.03,0.15,3.88,9.86,2.76,0.60,0.18,45.95,,100.00,,52.83,1.03,19.68,9.03,0.15,3.88,9.86,2.76,0.60,0.18,,22,85,,,,,35,291,71,26,23,103,87,22,15,459,203,16,,,,12,,11,,,,,,,,,,,,
Villarrica,Upper - G - 12,Villarrica Chaimilla,,39.42,,Costantini et al 2011,52.62,0.98,18.62,9.29,0.16,4.83,9.96,2.75,0.61,0.18,50.71,,100.00,,52.62,0.98,18.62,9.29,0.16,4.83,9.96,2.75,0.61,0.18,,21,79,,,,,35,277,128,29,36,87,83,21,15,443,195,15,,,,15,,11,,,,,,,,,,,,
Villarrica,Upper - H - 14,Villarrica Chaimilla,,39.42,,Costantini et al 2011,51.98,1.01,19.43,9.52,0.16,4.68,9.87,2.62,0.54,0.18,49.31,,99.99,,51.99,1.01,19.43,9.52,0.16,4.68,9.87,2.62,0.54,0.18,,22,81,,,,,36,286,116,27,36,91,82,21,14,443,187,16,,,,12,,12,,,,,,,,,,,,
Villarrica,VR62A1,Villarrica Lican,,39.42,,Lohmar et al 2012,57.40,1.16,16.30,9.87,0.17,3.14,6.82,3.96,0.91,0.22,38.63,,99.95,,57.43,1.16,16.31,9.87,0.17,3.14,6.82,3.96,0.91,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villarrica,VR62A,Villarrica Lican,,39.42,,Lohmar et al 2012,57.20,1.17,16.48,9.93,0.17,3.18,6.97,3.92,0.89,0.23,38.79,,100.14,,57.12,1.17,16.46,9.92,0.17,3.18,6.96,3.91,0.89,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villarrica,VR62A2,Villarrica Lican,,39.42,,Lohmar et al 2012,57.70,1.17,16.30,9.95,0.17,3.17,6.88,4.04,0.92,0.22,38.66,,100.52,,57.40,1.16,16.22,9.90,0.17,3.15,6.84,4.02,0.92,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villarrica,VR5-3b,Villarrica Lican,,39.42,,Lohmar et al 2012,57.10,1.18,16.40,9.95,0.17,3.19,6.85,4.08,0.94,0.22,38.81,,100.08,,57.05,1.18,16.39,9.94,0.17,3.19,6.84,4.08,0.94,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
